rho,meanDelay,sd_time,MessageOverhead,sd_msg
0.8,1.0,0.0,1.3333333333333333,0.2721655269759087
0.8135714285714286,1.3333333333333333,0.2721655269759087,2.6666666666666665,1.3608276348795436
0.8271428571428572,1.0,0.0,1.0,0.0
0.8407142857142857,1.0,0.0,3.6666666666666665,1.186342028003479
0.8542857142857143,1.6666666666666667,0.5443310539518174,1.6666666666666667,0.2721655269759087
0.8678571428571429,1.6666666666666667,0.5443310539518174,2.0,0.8164965809277261
0.8814285714285715,1.0,0.0,1.0,0.0
0.895,1.0,0.0,4.333333333333333,0.9813067629253164
0.9085714285714286,1.0,0.0,2.0,0.8164965809277261
0.9221428571428572,1.6666666666666667,0.5443310539518174,1.6666666666666667,0.2721655269759087
0.9357142857142857,1.0,0.0,1.3333333333333333,0.2721655269759087
0.9492857142857143,2.6666666666666665,0.9813067629253164,4.0,1.699673171197595
0.9628571428571429,3.0,0.9428090415820635,2.0,0.8164965809277261
0.9764285714285714,1.0,0.0,1.6666666666666667,0.5443310539518174
0.99,1.0,0.0,3.0,0.8164965809277261
